Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
25.0,26.0,0.0017304,0.0062243,0.0122493,0.0017686,0.7582373,0.0143116,0.016013,N.A.,N.A.,0.0457348,0.0135805,0.0513694,0.001857,0.076923,0.1083223,0.0386989,949.70367,0.0192235,0.010434,2184.8222,0.0213634,2253.7512,N.A.,0.0043138,0.0042862,0.6906795,N.A.,0.2684174,N.A.,N.A.,N.A.,N.A.,N.A.,0.0020688,0.0134803,0.0037356,0.0033133,N.A.,N.A.,0.001827,N.A.,0.0078777,N.A.,N.A.,N.A.,N.A.,0.0401808,0.0048384,11478.323
26.0,27.0,0.0024204,0.0048487,0.0036296,0.0076464,0.7297725,0.0288138,0.008718,0.0039554,N.A.,0.0742226,0.001845,0.0834017,N.A.,0.050725200000000005,0.1061485,N.A.,N.A.,0.0182109,0.0105813,2181.3442,0.0213991,2253.9055,N.A.,N.A.,N.A.,0.6984003,0.0017461,0.2449452,N.A.,N.A.,N.A.,N.A.,N.A.,0.0080837,0.0393525,0.0014703,N.A.,0.0009086,N.A.,0.0050928,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0324449,0.0059533,11446.378
27.0,28.0,N.A.,0.0056011,N.A.,0.0089764,0.716877,0.021303,0.0051162,N.A.,N.A.,0.0856746,0.0072358,0.0581986,N.A.,0.0910167,0.101422,0.0475513,963.92858,0.0188099,0.0110849,2187.9387,0.0218485,2253.924,N.A.,0.0106579,0.0133585,0.6933533,N.A.,0.2365821,N.A.,N.A.,N.A.,N.A.,N.A.,0.0040851,0.0286585,0.003518,0.0055188,0.0037499,N.A.,0.0005174,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0441084,0.003941,11499.722
28.0,29.0,N.A.,0.0017727,0.0021343,0.0018095,0.7575296,0.0144845,0.0106211,0.0042766,0.0020645,0.0809128,0.0061244,0.0501442,0.0014585,0.0666666,0.1073267,N.A.,N.A.,0.0191512,0.0098775,2179.6455,0.0217571,2254.3696,N.A.,0.0030799,N.A.,0.7372866,N.A.,0.2455502,N.A.,N.A.,N.A.,N.A.,N.A.,0.003749,0.0082492,N.A.,0.0012626,N.A.,N.A.,0.0008222,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0403794,0.0040676,11490.317
29.0,30.0,N.A.,0.0019076,0.0069345,0.0025954,0.7985767,0.0262689,0.0218473,0.0018428,N.A.,0.0641453,0.0051036,0.0439784,0.0017621,0.0250367,0.1024864,0.0489673,957.41607,0.0189105,0.0093637,2182.1887,0.0228057,2254.2871,N.A.,0.0055442,0.0090562,0.7349265,N.A.,0.2275009,N.A.,N.A.,N.A.,N.A.,N.A.,0.0051101,0.0115884,0.0062734,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0504832,0.0041573,11498.044
30.0,31.0,0.0016508,0.002354,0.0016515,N.A.,0.8172255,0.02228,0.0276236,N.A.,N.A.,0.0279478,N.A.,0.0800356,N.A.,0.0192307,0.1087439,0.042575,946.07672,0.0202149,0.0097707,2183.5278,0.0227409,2253.3413,N.A.,0.0256245,0.010653,0.6593121,N.A.,0.2397694,N.A.,N.A.,N.A.,N.A.,N.A.,0.0026006,0.0236847,0.0110309,0.004069,N.A.,N.A.,N.A.,N.A.,0.0232554,N.A.,N.A.,N.A.,N.A.,0.0503189,0.0082024,11455.582
31.0,32.0,N.A.,N.A.,0.1205845,0.0017865,0.6939566,0.0365475,0.0142705,N.A.,N.A.,0.0282603,N.A.,0.0896543,0.0018997,0.0130397,0.1313935,0.021832,929.54718,0.0265024,0.008883,2177.4401,0.0215531,2253.5932,N.A.,0.0056701,0.0036872,0.5666179,N.A.,0.2141642,N.A.,N.A.,N.A.,N.A.,0.0576952,0.0081444,0.0530583,0.0060264,0.0054749,N.A.,N.A.,N.A.,N.A.,0.0794609,N.A.,N.A.,N.A.,N.A.,0.0463578,0.009665,11462.205
32.0,33.0,0.0016199,0.0013829,0.0648086,0.0021886,0.7328651,0.0214442,0.0206678,0.0022599,N.A.,0.0357141,0.0014255,0.0852855,0.0014466,0.0288908,0.1155925,0.0412665,921.82299,0.0233144,0.0097091,2181.6135,0.0223442,2254.3356,N.A.,0.0247547,0.0033315,0.6061943,N.A.,0.2316937,N.A.,N.A.,N.A.,N.A.,0.0427312,0.0060928,0.0354606,0.0074592,0.0074448,N.A.,0.0024836,0.0008605,N.A.,0.0314927,N.A.,N.A.,N.A.,N.A.,0.0477359,0.0058595,11436.156
33.0,34.0,N.A.,0.0087392,0.215097,N.A.,0.6616541,0.0088031,0.0173622,N.A.,N.A.,0.0019536,0.0037251,0.0740447,N.A.,0.0086206,0.1189421,0.0389821,903.24511,0.0389144,0.0090036,2188.1379,0.0213775,2253.2456,N.A.,0.0064372,0.0097994,0.4975283,N.A.,0.1917429,N.A.,N.A.,N.A.,N.A.,0.2253523,N.A.,0.0420925,0.009393,0.002089,N.A.,N.A.,N.A.,N.A.,0.015565,N.A.,N.A.,N.A.,N.A.,0.0388197,0.0030189,11467.725
34.0,35.0,N.A.,0.0039831,0.0583574,0.0307617,0.4583748,0.0649756,0.0107406,N.A.,N.A.,0.0259938,0.0077302,0.0890824,N.A.,0.25,0.1078068,0.0413173,931.95867,0.0191278,0.0096146,2184.2839,0.0185262,2251.4753,N.A.,0.0412164,0.0020144,0.3996442,0.0729213,0.2897643,N.A.,N.A.,N.A.,N.A.,0.0307559,0.083635,0.0455692,0.0114212,0.0104926,0.0046983,N.A.,0.0008346,N.A.,0.0070319,N.A.,N.A.,N.A.,N.A.,0.0494563,0.0040938,11518.265
