Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
26.0,27.0,N.A.,0.9242903,0.0030902,0.0038136,0.025212,0.0066467,0.0038217,N.A.,N.A.,N.A.,0.0331252,N.A.,N.A.,N.A.,0.1289178,N.A.,N.A.,0.0350771,0.1529263,2197.6521,0.0120679,2257.0588,N.A.,0.8150674,0.0024814,0.0720446,N.A.,N.A.,N.A.,N.A.,N.A.,0.1099047,N.A.,N.A.,0.0005016,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2416332,0.0016225,11417.884
27.0,28.0,N.A.,0.938068,N.A.,N.A.,0.0194612,N.A.,N.A.,N.A.,N.A.,N.A.,0.034274,N.A.,N.A.,0.0081967,0.1263859,0.0328656,885.01763,0.0305647,0.1464691,2197.434,0.0105436,2257.2321,N.A.,0.8108954,0.0047053,0.0408786,N.A.,N.A.,N.A.,N.A.,N.A.,0.1417243,N.A.,N.A.,0.0008075,N.A.,N.A.,N.A.,0.0009885,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2366917,0.0016142,11399.178
28.0,29.0,N.A.,0.9102865,N.A.,N.A.,0.0522564,0.0032699,0.0024667,N.A.,N.A.,0.0017234,0.0214658,0.0085308,N.A.,N.A.,0.1402872,N.A.,N.A.,0.0321305,0.1455068,2197.2766,0.0113724,2256.6967,N.A.,0.8464595,0.0233395,0.0485615,N.A.,N.A.,N.A.,N.A.,N.A.,0.0797148,N.A.,N.A.,0.0012397,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0006847,N.A.,N.A.,N.A.,N.A.,0.245396,0.0018553,11372.005
29.0,30.0,N.A.,0.8947128,N.A.,N.A.,0.0653028,0.0039325,0.0026789,N.A.,N.A.,N.A.,0.0333727,N.A.,N.A.,N.A.,0.1388275,N.A.,N.A.,0.0329141,0.1480163,2197.5578,0.0128216,2257.9443,N.A.,0.8398914,0.0117487,0.0920833,N.A.,N.A.,N.A.,N.A.,N.A.,0.0562764,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2447669,0.0016898,11373.298
30.0,31.0,N.A.,0.8133283,N.A.,0.0035494,0.1032006,0.0086104,N.A.,N.A.,N.A.,N.A.,0.0646233,0.0066878,N.A.,N.A.,0.1380827,N.A.,N.A.,0.0315703,0.1426581,2197.3186,0.0142803,2256.7895,N.A.,0.8172693,N.A.,0.1148418,N.A.,N.A.,N.A.,N.A.,N.A.,0.0668592,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0010296,N.A.,N.A.,N.A.,N.A.,0.2414295,0.0018176,11368.119
31.0,32.0,N.A.,0.8271871,N.A.,0.0025592,0.1393034,0.0052699,0.0082655,N.A.,N.A.,0.0015435,0.0093651,0.0024219,0.0040842,N.A.,0.1434355,N.A.,N.A.,0.0329292,0.1449552,2197.1899,0.0152886,2256.249,N.A.,0.8131077,0.0065926,0.1093548,N.A.,N.A.,N.A.,N.A.,N.A.,0.0697304,N.A.,N.A.,0.0012143,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2417752,0.0016365,11390.223
32.0,33.0,N.A.,0.8033422,N.A.,N.A.,0.1186471,0.0116073,N.A.,N.A.,N.A.,0.0015883,0.0589031,N.A.,0.0059117,N.A.,0.1335411,N.A.,N.A.,0.0297192,0.1347087,2196.9726,0.0161963,2257.0639,N.A.,0.8019158,0.0030659,0.0958056,N.A.,N.A.,N.A.,N.A.,N.A.,0.0982297,N.A.,N.A.,0.0001732,N.A.,N.A.,N.A.,0.0008094,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2379804,0.001567,11398.932
33.0,34.0,N.A.,0.778417,0.0021232,0.0047787,0.1082416,0.0122923,N.A.,N.A.,N.A.,0.005469,0.0474407,N.A.,N.A.,0.0412371,0.128401,0.035998,892.41656,0.0274216,0.1177711,2196.7421,0.0160925,2256.0432,N.A.,0.8151819,0.018588,0.08183,N.A.,N.A.,N.A.,N.A.,N.A.,0.0806865,N.A.,N.A.,0.0037133,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2359192,0.0014219,11407.178
34.0,35.0,N.A.,0.6253238,N.A.,N.A.,0.2797298,N.A.,0.0021981,N.A.,N.A.,0.0078519,0.0425682,0.0264181,0.0021667,0.0137429,0.1123395,0.0377412,894.46923,0.0312983,0.1306379,2197.0842,0.027585,2258.2368,N.A.,0.7721682,0.0050647,0.1124719,N.A.,N.A.,N.A.,N.A.,N.A.,0.0798566,0.0128716,N.A.,0.0017683,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0157985,N.A.,N.A.,N.A.,N.A.,0.2241823,0.0041414,11391.203
35.0,36.0,N.A.,0.611045,N.A.,N.A.,0.3402681,0.0055238,N.A.,0.0020475,N.A.,0.0065573,0.0206157,0.0043269,N.A.,0.0096153,0.1231877,0.0392475,900.30877,0.0383365,0.1338353,2197.1508,0.0290429,2256.9245,N.A.,0.8014495,0.0043791,0.1278524,N.A.,N.A.,N.A.,N.A.,N.A.,0.0616528,N.A.,N.A.,0.004666,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.239974,0.0018504,11410.971
